Author,Title,URL,search_keyword,duration_sec
Hannah Morris Bouldering,I Trained Like A Professional Climber for 40 DAYS,https://www.youtube.com//watch?v=txGhHkbPjCk&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,960
HoseokClimb,My Rock Climbing Training Routine to V8 Revealed (Beginner to Intermediate),https://www.youtube.com//watch?v=IHHEKcfVIsg&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,1434
Hooper's Beta,How to Train for Climbing [Full Body Guide ft. Dan Beall],https://www.youtube.com//watch?v=Iy8wi_u5oFI&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,4149
Adam Ondra,Climb Smart: Boulder Training Efficiency ⚡ | Tips & Tricks by Adam Ondra,https://www.youtube.com//watch?v=SLJTwFQE10A&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,1402
Adam Ondra,Most Climbers Should Train LIKE THIS | Adam Ondra & Magnus Midtbø,https://www.youtube.com//watch?v=xCu89k1aGWo&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,1708
Lattice Training,Learn 100+ Climbing Techniques With Just 4 Movement Concepts,https://www.youtube.com//watch?v=a8DTOztiuLM&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,1052
Lattice Training,We Asked 6 STRONG Climbers How To Train Finger Strength,https://www.youtube.com//watch?v=PXT05KLawLk&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,724
Magnus Midtbø,How to maintain Climbing Fitness with very little effort  - Training routine,https://www.youtube.com//watch?v=yomjU8ePIaI&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,975
Ape Climbing,Indoor climbing training - feat. Zanias - Duneskipper,https://www.youtube.com//watch?v=uwEnHO40IZs&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,343
Lattice Training,"How To Avoid The ""Intermediate Climber"" Plateau",https://www.youtube.com//watch?v=KBN9MrzXu0U&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,1409
Lattice Training,This Will Change Climbing Training Forever - Yves Arm-Lifting Method,https://www.youtube.com//watch?v=nhyk765nw-8&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,1284
Lattice Training,Getting Stronger Quickly as a Beginner!,https://www.youtube.com//watch?v=pi6B3b0s7_U&pp=ygURY2xpbWJpbmcgdHJhaW5pbmc%3D,climbing training,628
